0 0
0 0
0 0
0 0
0 0
0 0
0 0
759 1
210 1
210 1
176 1
157 1
95 1
79 1
42 1
0 0
0 0
0 0
0 0
0 0
684 1
219 1
219 1
194 1
107 1
98 1
66 1
0 0
0 0
0 0
0 0
0 0
0 0
881 1
237 1
237 1
225 1
145 1
131 1
104 1
39 1
0 0
0 0
0 0
0 0
0 0
0 0
886 1
243 1
243 1
195 1
181 1
156 1
76 1
35 1
0 0
0 0
276 1
179 1
179 1
97 1
0 0
0 0
0 0
0 0
729 1
250 1
250 1
215 1
172 1
92 1
0 0
0 0
0 0
532 1
234 1
234 1
218 1
80 1
0 0
0 0
0 0
284 1
158 1
158 1
123 1
3 1
0 0
0 0
0 0
0 0
0 0
0 0
643 1
167 1
167 1
158 1
134 1
106 1
45 1
33 1
0 0
0 0
0 0
0 0
0 0
0 0
1515 1
255 1
255 1
254 1
253 1
252 1
251 1
250 1
